Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-01-27,16:00:00,120.64,120.85,120.37,120.69,2894577,0
2017-01-27,17:00:00,120.69,120.77,120.45,120.48,2547461,0
2017-01-27,18:00:00,120.48,120.56,120.44,120.48,1726946,0
2017-01-27,19:00:00,120.48,120.6,120.37,120.47,1410258,0
2017-01-27,20:00:00,120.46,120.51,120.27,120.28,1688016,0
2017-01-27,21:00:00,120.29,120.32,120.11,120.25,2274931,0
2017-01-27,22:00:00,120.24,120.47,120.19,120.22,5735531,0
2017-01-30,16:00:00,119.45,119.87,119.18,119.48,6142600,0
2017-01-30,17:00:00,119.47,119.7,119.43,119.64,4648114,0
2017-01-30,18:00:00,119.64,119.81,119.55,119.76,3288067,0
2017-01-30,19:00:00,119.76,119.8,119.63,119.69,2333437,0
2017-01-30,20:00:00,119.68,119.77,119.61,119.67,1969703,0
2017-01-30,21:00:00,119.67,119.78,119.63,119.76,2271109,0
2017-01-30,22:00:00,119.77,120.13,119.6,120.13,7347810,0
2017-01-31,16:00:00,119.66,119.9,119.33,119.67,5134748,0
2017-01-31,17:00:00,119.67,119.69,119.23,119.44,5432994,0
2017-01-31,18:00:00,119.44,119.74,119.42,119.63,4490981,0
2017-01-31,19:00:00,119.63,119.73,119.52,119.62,2616732,0
2017-01-31,20:00:00,119.63,119.69,119.16,119.19,3758123,0
2017-01-31,21:00:00,119.19,119.6,119.14,119.57,4753553,0
2017-01-31,22:00:00,119.58,119.86,119.53,119.8,11909623,0
2017-02-01,16:00:00,125.47,126.71,125.45,126.55,25108418,0
2017-02-01,17:00:00,126.56,126.87,126.09,126.6,16284007,0
2017-02-01,18:00:00,126.59,126.9,126.28,126.75,9464352,0
2017-02-01,19:00:00,126.75,127.91,126.73,127.63,10455074,0
2017-02-01,20:00:00,127.63,127.84,127.35,127.45,6586929,0
2017-02-01,21:00:00,127.44,128.53,127.41,128.4,12434109,0
2017-02-01,22:00:00,128.4,128.89,127.16,127.2,17702711,0
2017-02-02,16:00:00,126.4,127.8,126.33,127.19,7237960,0
2017-02-02,17:00:00,127.19,127.23,126.69,127.1,5139571,0
2017-02-02,18:00:00,127.1,127.14,126.37,126.43,3623400,0
2017-02-02,19:00:00,126.43,126.88,126.21,126.7,3544752,0
2017-02-02,20:00:00,126.69,126.77,126.46,126.68,1709948,0
2017-02-02,21:00:00,126.67,126.68,126.33,126.63,2128641,0
2017-02-02,22:00:00,126.63,126.97,126.56,126.95,3903869,0
2017-02-03,16:00:00,126.73,127.53,126.59,127.43,3929275,0
2017-02-03,17:00:00,127.43,127.6,127.09,127.12,3456911,0
2017-02-03,18:00:00,127.12,127.33,126.76,126.81,2134756,0
2017-02-03,19:00:00,126.85,127.01,126.79,126.87,1242745,0
2017-02-03,20:00:00,126.86,126.93,126.76,126.87,1596652,0
2017-02-03,21:00:00,126.87,127.11,126.87,127.1,1942924,0
2017-02-03,22:00:00,127.1,127.49,127.06,127.46,6137379,0
2017-02-06,16:00:00,127.54,128.53,127.35,128.52,3820254,0
2017-02-06,17:00:00,128.53,128.87,128.39,128.52,4872885,0
2017-02-06,18:00:00,128.52,128.67,128.3,128.45,2962675,0
2017-02-06,19:00:00,128.44,128.84,128.42,128.82,2401499,0
2017-02-06,20:00:00,128.82,128.9,128.51,128.59,2223840,0
2017-02-06,21:00:00,128.59,128.75,128.46,128.69,1952155,0
2017-02-06,22:00:00,128.69,128.77,128.5,128.69,4900381,0
2017-02-07,16:00:00,128.94,129.52,128.85,129.45,5642444,0
2017-02-07,17:00:00,129.44,130.38,129.44,130.24,6550238,0
2017-02-07,18:00:00,130.24,130.38,130.14,130.22,3055740,0
2017-02-07,19:00:00,130.23,130.47,129.88,129.88,4611742,0
2017-02-07,20:00:00,129.88,130.42,129.81,130.13,2982971,0
2017-02-07,21:00:00,130.14,130.18,129.55,129.78,4045484,0
2017-02-07,22:00:00,129.79,130.01,129.78,129.91,5823078,0
2017-02-08,16:00:00,129.73,130.18,129.6,129.73,3989117,0
2017-02-08,17:00:00,129.73,130,129.6,129.86,2934750,0
2017-02-08,18:00:00,129.86,129.98,129.8,129.8,1704779,0
2017-02-08,19:00:00,129.81,130.08,129.8,129.89,1948723,0
