Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-01-27,16:00:00,68.55,69.45,68.35,69.1,33210,0
2017-01-27,17:00:00,69.1,69.8,68.65,69.65,55272,0
2017-01-27,18:00:00,69.725,70.6,69.65,69.75,121655,0
2017-01-27,19:00:00,69.725,70.25,69.65,69.85,24870,0
2017-01-27,20:00:00,69.9,70.4,69.7,70.15,23605,0
2017-01-27,21:00:00,70.15,70.55,69.95,70.45,38746,0
2017-01-27,22:00:00,70.425,71.1,70.355,71.1,126604,0
2017-01-30,16:00:00,70.4,70.65,68.1,69.05,71463,0
2017-01-30,17:00:00,68.85,68.85,67.4,68.0585,110328,0
2017-01-30,18:00:00,68.15,69.2,68,68.9,70975,0
2017-01-30,19:00:00,68.95,69.15,68.35,68.75,40151,0
2017-01-30,20:00:00,68.75,69,68.15,68.3,27274,0
2017-01-30,21:00:00,68.35,68.8,68.1,68.55,38884,0
2017-01-30,22:00:00,68.45,68.75,68.15,68.6,115476,0
2017-01-31,16:00:00,67.95,70.1,67.1,70.095,76365,0
2017-01-31,17:00:00,70,72.75,69.9,72.75,171194,0
2017-01-31,18:00:00,72.7,73.75,71.85,72.2222,89331,0
2017-01-31,19:00:00,72.15,72.75,71.8,72.075,51063,0
2017-01-31,20:00:00,71.955,72.85,71.7,72.65,81421,0
2017-01-31,21:00:00,72.7,74.65,72.25,74.15,154070,0
2017-01-31,22:00:00,74.15,75.25,73.8,74.5,319815,0
2017-02-01,16:00:00,74.65,75.92,73.15,75.2,98042,0
2017-02-01,17:00:00,75.4,76.3,74.15,74.5695,144489,0
2017-02-01,18:00:00,74.59,75.75,74.59,74.78,64135,0
2017-02-01,19:00:00,74.75,75.35,74.15,75.1,49331,0
2017-02-01,20:00:00,75.1,75.45,74.625,74.8,51626,0
2017-02-01,21:00:00,74.8,75.65,74.45,75.45,69091,0
2017-02-01,22:00:00,75.45,75.75,74.75,75.6,152690,0
2017-02-02,16:00:00,74.65,75.9428,74.1,75.45,38217,0
2017-02-02,17:00:00,75.85,76.7,74.8,75.783,92906,0
2017-02-02,18:00:00,75.9,76.75,75.35,75.8,82951,0
2017-02-02,19:00:00,75.75,76.4,75.55,76.4,27823,0
2017-02-02,20:00:00,76.35,76.45,75.7,76.225,27797,0
2017-02-02,21:00:00,76.295,76.6,75.9,76.3,43542,0
2017-02-02,22:00:00,76.45,76.95,76.25,76.7,105314,0
2017-02-03,16:00:00,77,77.344,75.15,75.4,61258,0
2017-02-03,17:00:00,75.4,76.75,75.3,76.53,52019,0
2017-02-03,18:00:00,76.55,77.045,76.1808,76.9,38013,0
2017-02-03,19:00:00,77,77.65,76.95,77.3257,34854,0
2017-02-03,20:00:00,77.255,77.7,77.2,77.45,36384,0
2017-02-03,21:00:00,77.5,77.95,77.35,77.95,29252,0
2017-02-03,22:00:00,77.95,78.8,77.7615,78.65,130782,0
2017-02-06,16:00:00,76.225,77.45,75.6,75.925,195976,0
2017-02-06,17:00:00,75.95,77.75,75.4,77.2,144501,0
2017-02-06,18:00:00,77.2,78.55,77.105,78.5,71113,0
2017-02-06,19:00:00,78.405,78.5,76.75,76.9,49903,0
2017-02-06,20:00:00,76.926,77.65,76.6,77.65,31486,0
2017-02-06,21:00:00,77.65,78.2,77.2,77.35,41543,0
2017-02-06,22:00:00,77.4,78,77.3,77.9,138267,0
2017-02-07,16:00:00,77.6,78.1,76.505,76.995,76234,0
2017-02-07,17:00:00,76.9,77,75.25,76.2,161771,0
2017-02-07,18:00:00,76.2,76.35,74.35,74.5,126207,0
2017-02-07,19:00:00,74.45,74.75,73.55,73.95,95347,0
2017-02-07,20:00:00,73.9,75.075,73.75,75,107813,0
2017-02-07,21:00:00,75.0999,75.1,73.35,73.9,80276,0
2017-02-07,22:00:00,73.9,73.95,72.8,73.7,216613,0
2017-02-08,16:00:00,73.35,73.35,71.25,72.58,48732,0
2017-02-08,17:00:00,72.6,73.7,72.4,73.2,71812,0
2017-02-08,18:00:00,73.2,73.7,72.505,73.05,56498,0
2017-02-08,19:00:00,73.05,73.6,72.75,73.55,28256,0
2017-02-08,20:00:00,73.5,74.345,73.45,73.85,46970,0
2017-02-08,21:00:00,73.95,74.6,73.75,73.875,70177,0
2017-02-08,22:00:00,73.9,74.105,73.05,73.6,151645,0
2017-02-09,16:00:00,73.5,75.2,73.5,74.3225,34246,0
2017-02-09,17:00:00,74.4,75.65,74.1,74.5,94160,0
2017-02-09,18:00:00,74.4,75.2,74.25,74.775,60042,0
2017-02-09,19:00:00,74.8,75,74.45,74.9,25871,0
2017-02-09,20:00:00,74.825,75.45,74.45,75.3,31738,0
2017-02-09,21:00:00,75.4,75.45,74.7,75.25,30717,0
2017-02-09,22:00:00,75.3022,75.75,74.95,75.75,176557,0
2017-02-10,16:00:00,75.7,77.8,75.4,77.8,143751,0
2017-02-10,17:00:00,77.65,77.85,76,76.8,57122,0
2017-02-10,18:00:00,76.75,77.65,76.5,77.65,28211,0
2017-02-10,19:00:00,77.55,77.7,77.15,77.55,30755,0
2017-02-10,20:00:00,77.505,77.725,77.25,77.45,35546,0
2017-02-10,21:00:00,77.425,77.75,76.97,76.97,25661,0
2017-02-10,22:00:00,77.05,77.05,75.6,75.7,158733,0
2017-02-13,16:00:00,76.15,76.75,74.5,76.6,56351,0
2017-02-13,17:00:00,76.6,76.65,75.45,76.2,62093,0
2017-02-13,18:00:00,76.2,76.95,75.95,76.1,51805,0
2017-02-13,19:00:00,76.15,76.45,76.05,76.1075,23591,0
2017-02-13,20:00:00,76.05,76.25,75.7,76.15,35675,0
2017-02-13,21:00:00,76.1,76.25,75.8,76.0374,25297,0
2017-02-13,22:00:00,76,76.45,75.95,76.45,89174,0
2017-02-14,16:00:00,76.15,76.72,76.1,76.55,26194,0
2017-02-14,17:00:00,76.35,76.625,75.855,76.3,73539,0
2017-02-14,18:00:00,76.35,76.4779,75.8,76.05,51153,0
