Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-21,15:35:00,171.69,171.78,170.52,170.68,639774,0
2017-09-21,15:40:00,170.7,170.7499,170.27,170.51,404534,0
2017-09-21,15:45:00,170.51,170.83,170.25,170.83,271007,0
2017-09-21,15:50:00,170.79,170.89,170.35,170.46,171709,0
2017-09-21,15:55:00,170.44,170.56,170.35,170.45,174215,0
2017-09-21,16:00:00,170.425,170.45,170.11,170.4176,261979,0
2017-09-21,16:05:00,170.41,170.6099,170.22,170.54,176156,0
2017-09-21,16:10:00,170.52,170.54,170.16,170.29,188811,0
2017-09-21,16:15:00,170.3,170.87,170.27,170.81,251868,0
2017-09-21,16:20:00,170.8163,170.95,170.6,170.77,146825,0
2017-09-21,16:25:00,170.77,170.8798,170.3725,170.3725,147087,0
2017-09-21,16:30:00,170.37,170.71,170.32,170.65,140492,0
2017-09-21,16:35:00,170.67,170.67,170.47,170.47,58996,0
2017-09-21,16:40:00,170.46,170.5897,170.201,170.3074,130060,0
2017-09-21,16:45:00,170.31,170.37,170.02,170.0526,112195,0
2017-09-21,16:50:00,170.05,170.47,170.01,170.4689,108677,0
2017-09-21,16:55:00,170.45,170.83,170.45,170.75,205940,0
2017-09-21,17:00:00,170.76,170.8,170.6199,170.645,135641,0
2017-09-21,17:05:00,170.64,170.9,170.63,170.83,203892,0
2017-09-21,17:10:00,170.8298,170.925,170.71,170.82,124547,0
2017-09-21,17:15:00,170.8327,171.2,170.825,171.19,219736,0
2017-09-21,17:20:00,171.1968,171.29,171.03,171.26,102416,0
2017-09-21,17:25:00,171.265,171.88,171.25,171.74,258394,0
2017-09-21,17:30:00,171.7455,172.27,171.69,171.88,314061,0
2017-09-21,17:35:00,171.86,172.09,171.71,171.802,260627,0
2017-09-21,17:40:00,171.8089,171.8632,171.61,171.72,118976,0
2017-09-21,17:45:00,171.7213,171.96,171.72,171.88,107000,0
2017-09-21,17:50:00,171.87,171.88,171.71,171.74,64744,0
2017-09-21,17:55:00,171.768,171.87,171.68,171.6901,55819,0
2017-09-21,18:00:00,171.71,171.89,171.68,171.79,67940,0
2017-09-21,18:05:00,171.83,171.9,171.77,171.7822,32237,0
2017-09-21,18:10:00,171.79,171.83,171.72,171.8,71704,0
2017-09-21,18:15:00,171.81,172.08,171.78,172.0475,138787,0
2017-09-21,18:20:00,172.04,172.1,171.9468,172.0353,61077,0
2017-09-21,18:25:00,172.04,172.17,171.9256,172,82395,0
2017-09-21,18:30:00,171.99,171.99,171.907,171.94,65423,0
2017-09-21,18:35:00,171.92,171.94,171.73,171.75,53259,0
2017-09-21,18:40:00,171.769,171.95,171.75,171.775,69497,0
2017-09-21,18:45:00,171.78,171.79,171.57,171.6599,69005,0
2017-09-21,18:50:00,171.6488,171.77,171.63,171.72,40891,0
2017-09-21,18:55:00,171.71,171.92,171.705,171.73,31750,0
2017-09-21,19:00:00,171.737,171.81,171.72,171.735,28441,0
2017-09-21,19:05:00,171.76,171.85,171.71,171.8201,36899,0
2017-09-21,19:10:00,171.82,172,171.75,172,68203,0
2017-09-21,19:15:00,172,172.07,171.9562,172.05,54420,0
2017-09-21,19:20:00,172.07,172.19,172.0201,172.1026,80112,0
2017-09-21,19:25:00,172.12,172.12,171.98,172.03,32360,0
2017-09-21,19:30:00,172.0277,172.03,171.88,171.9499,46787,0
2017-09-21,19:35:00,171.9451,171.995,171.83,171.8644,50703,0
2017-09-21,19:40:00,171.86,171.97,171.84,171.85,40958,0
2017-09-21,19:45:00,171.86,172.0431,171.86,171.99,55331,0
2017-09-21,19:50:00,171.99,172.01,171.91,171.97,68880,0
2017-09-21,19:55:00,171.96,172.02,171.85,171.88,38556,0
2017-09-21,20:00:00,171.88,171.96,171.8401,171.9,30287,0
2017-09-21,20:05:00,171.9,171.93,171.85,171.92,31692,0
2017-09-21,20:10:00,171.9099,171.95,171.85,171.9284,26898,0
2017-09-21,20:15:00,171.93,172.09,171.9,171.92,88798,0
2017-09-21,20:20:00,171.92,172.04,171.9,171.96,71276,0
2017-09-21,20:25:00,171.97,172.03,171.93,171.944,48027,0
2017-09-21,20:30:00,171.95,172,171.855,171.864,41089,0
2017-09-21,20:35:00,171.86,171.8849,171.6467,171.7,87797,0
2017-09-21,20:40:00,171.7,171.825,171.67,171.7901,53431,0
2017-09-21,20:45:00,171.79,171.819,171.69,171.69,73426,0
2017-09-21,20:50:00,171.7062,171.73,171.53,171.73,82258,0
2017-09-21,20:55:00,171.721,171.87,171.7,171.82,62777,0
2017-09-21,21:00:00,171.81,171.99,171.79,171.93,64983,0
2017-09-21,21:05:00,171.93,172.02,171.9,171.94,63108,0
2017-09-21,21:10:00,171.95,172,171.8775,171.94,64087,0
2017-09-21,21:15:00,171.94,171.96,171.6168,171.6168,73387,0
2017-09-21,21:20:00,171.63,171.7516,171.6247,171.698,49087,0
2017-09-21,21:25:00,171.7,171.7498,171.66,171.685,55361,0
2017-09-21,21:30:00,171.695,171.83,171.68,171.75,71370,0
2017-09-21,21:35:00,171.74,171.79,171.68,171.73,77583,0
2017-09-21,21:40:00,171.73,171.84,171.73,171.75,80603,0
2017-09-21,21:45:00,171.74,171.7837,171.5,171.525,115432,0
2017-09-21,21:50:00,171.51,171.63,171.45,171.52,133002,0
2017-09-21,21:55:00,171.51,171.51,171.16,171.235,323953,0
2017-09-21,22:00:00,171.24,171.379,171.1,171.11,442528,0
2017-09-22,15:35:00,170.21,171.1,170.2,171.03,447959,0
2017-09-22,15:40:00,171.0699,171.7,171.02,171.53,318047,0
2017-09-22,15:45:00,171.5799,171.689,171.43,171.61,196596,0
2017-09-22,15:50:00,171.62,171.65,171.04,171.27,240130,0
2017-09-22,15:55:00,171.26,171.63,171.12,171.53,153795,0
2017-09-22,16:00:00,171.5603,171.6,171.01,171.04,171575,0
2017-09-22,16:05:00,171.09,171.44,171.08,171.415,119401,0
2017-09-22,16:10:00,171.42,171.73,171.4,171.63,134055,0
2017-09-22,16:15:00,171.64,171.65,171.41,171.46,103634,0
2017-09-22,16:20:00,171.45,171.4604,171.24,171.262,100531,0
2017-09-22,16:25:00,171.27,171.34,171.18,171.2,89115,0
2017-09-22,16:30:00,171.195,171.29,171.03,171.2,121492,0
2017-09-22,16:35:00,171.2,171.26,170.95,171.12,99750,0
2017-09-22,16:40:00,171.12,171.26,171.07,171.07,93536,0
2017-09-22,16:45:00,171.07,171.15,170.99,170.99,81189,0
2017-09-22,16:50:00,170.9801,171.075,170.87,170.88,78658,0
2017-09-22,16:55:00,170.8927,171.0099,170.76,170.92,86989,0
2017-09-22,17:00:00,170.89,170.96,170.61,170.66,105368,0
2017-09-22,17:05:00,170.67,170.9,170.64,170.8,97349,0
2017-09-22,17:10:00,170.815,170.815,170.72,170.81,48052,0
2017-09-22,17:20:00,170.7801,170.81,170.66,170.72,77092,0
2017-09-22,17:25:00,170.75,170.76,170.59,170.61,102796,0
2017-09-22,17:30:00,170.62,170.72,170.53,170.54,145720,0
2017-09-22,17:35:00,170.55,170.6,170.4,170.54,140773,0
2017-09-22,17:40:00,170.54,170.54,170.43,170.45,73468,0
2017-09-22,17:45:00,170.45,170.64,170.43,170.62,142929,0
2017-09-22,17:50:00,170.65,170.65,170.51,170.52,109015,0
2017-09-22,17:55:00,170.5101,170.5101,170.3,170.36,136009,0
2017-09-22,18:00:00,170.38,170.52,170.37,170.4544,55846,0
2017-09-22,18:05:00,170.455,170.455,170.2,170.42,128678,0
2017-09-22,18:10:00,170.415,170.4999,170.25,170.43,61845,0
2017-09-22,18:15:00,170.43,170.46,170.24,170.3488,46402,0
2017-09-22,18:20:00,170.3364,170.3999,170.29,170.29,48037,0
2017-09-22,18:25:00,170.29,170.3,170.201,170.24,150981,0
2017-09-22,18:30:00,170.25,170.3,170.141,170.16,152320,0
2017-09-22,18:35:00,170.15,170.24,170.1,170.24,157688,0
2017-09-22,18:40:00,170.2363,170.25,170.12,170.2185,79972,0
2017-09-22,18:45:00,170.2093,170.28,170.2,170.23,71362,0
2017-09-22,18:50:00,170.23,170.23,170.055,170.075,86081,0
2017-09-22,18:55:00,170.07,170.18,170.02,170.04,176216,0
2017-09-22,19:00:00,170.04,170.04,169.69,169.72,326913,0
2017-09-22,19:05:00,169.7246,169.7364,169.52,169.685,251338,0
2017-09-22,19:10:00,169.67,169.82,169.67,169.78,93275,0
2017-09-22,19:15:00,169.79,169.83,169.22,169.37,233530,0
2017-09-22,19:20:00,169.35,169.52,169.34,169.5,133223,0
2017-09-22,19:25:00,169.5,169.72,169.43,169.6901,85110,0
2017-09-22,19:30:00,169.7,169.89,169.7,169.8708,82599,0
