Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-01-27,16:00:00,64.284,64.528,63.791,64.322,10442718,0
2017-01-27,17:00:00,64.317,64.548,64.145,64.432,6803021,0
2017-01-27,18:00:00,64.436,64.795,64.392,64.618,5961891,0
2017-01-27,19:00:00,64.618,64.695,64.499,64.593,2861265,0
2017-01-27,20:00:00,64.593,64.628,64.47,64.474,2876059,0
2017-01-27,21:00:00,64.479,64.657,64.431,64.598,3591179,0
2017-01-27,22:00:00,64.598,64.685,64.352,64.666,8025385,0
2017-01-30,16:00:00,64.578,64.676,64.259,64.499,4559117,0
2017-01-30,17:00:00,64.499,64.509,63.772,63.856,4693505,0
2017-01-30,18:00:00,63.861,64.106,63.772,64.067,3818079,0
2017-01-30,19:00:00,64.062,64.087,63.801,63.87,2806061,0
2017-01-30,20:00:00,63.861,63.978,63.801,63.836,2092259,0
2017-01-30,21:00:00,63.836,63.978,63.791,63.907,2245336,0
2017-01-30,22:00:00,63.9,64.037,63.704,64.028,8905906,0
2017-01-31,16:00:00,63.762,64.047,63.447,63.575,2794729,0
2017-01-31,17:00:00,63.57,63.713,63.34,63.413,3288004,0
2017-01-31,18:00:00,63.408,63.507,63.172,63.265,3173757,0
2017-01-31,19:00:00,63.264,63.437,63.255,63.359,1768089,0
2017-01-31,20:00:00,63.369,63.398,63.221,63.28,2311208,0
2017-01-31,21:00:00,63.28,63.437,63.221,63.418,2633335,0
2017-01-31,22:00:00,63.418,63.555,63.408,63.555,4764144,0
2017-02-01,16:00:00,63.265,63.527,63.035,63.172,4692574,0
2017-02-01,17:00:00,63.162,63.28,62.764,62.779,5490346,0
2017-02-01,18:00:00,62.788,62.808,62.572,62.636,3876644,0
2017-02-01,19:00:00,62.641,62.779,62.524,62.726,3861813,0
2017-02-01,20:00:00,62.73,62.788,62.396,62.474,3432592,0
2017-02-01,21:00:00,62.464,62.691,62.424,62.494,4841804,0
2017-02-01,22:00:00,62.494,62.631,62.396,62.504,10744995,0
2017-02-02,16:00:00,62.18,62.337,61.688,62.223,8586217,0
2017-02-02,17:00:00,62.219,62.277,61.855,62.061,7860331,0
2017-02-02,18:00:00,62.071,62.297,61.845,61.868,6124333,0
2017-02-02,19:00:00,61.869,62.032,61.796,61.928,3003863,0
2017-02-02,20:00:00,61.928,62.09,61.904,62.013,2827870,0
2017-02-02,21:00:00,62.013,62.095,61.973,62.08,3903496,0
2017-02-02,22:00:00,62.08,62.185,62.013,62.041,6705150,0
2017-02-03,16:00:00,62.424,62.563,62.071,62.342,3978666,0
2017-02-03,17:00:00,62.347,62.444,62.095,62.15,4141078,0
2017-02-03,18:00:00,62.15,62.257,62.003,62.13,2843306,0
2017-02-03,19:00:00,62.16,62.257,62.12,62.16,2612804,0
2017-02-03,20:00:00,62.17,62.267,62.09,62.219,1967322,0
