AAAP, 4
Symbol,Date,Open,High,Low,Close,Volume
AAAP,02 Jan 2017,26.76,26.76,26.76,26.76,0
AAAP,03 Jan 2017,27.06,27.81,26.6,27.16,64700
AAAP,04 Jan 2017,27.34,27.91,26.93,27.25,73200
AAAP,05 Jan 2017,27.04,27.68,26.8,27.37,64900
AAAP,06 Jan 2017,27.54,27.62,27.01,27.51,113200
AAAP,09 Jan 2017,27.14,28.13,27.14,28.03,49900
AAAP,10 Jan 2017,28.01,28.5,27.89,28.35,24800
AAAP,11 Jan 2017,28.4,29.03,28.17,28.84,51800
AAAP,12 Jan 2017,29.19,29.5,28.28,29.01,150600
AAAP,13 Jan 2017,29.26,29.57,29.01,29.13,47800
AAAP,16 Jan 2017,29.13,29.13,29.13,29.13,0
AAAP,17 Jan 2017,29.29,29.45,28.32,28.37,34500
AAAP,18 Jan 2017,29.08,29.08,28.03,28.41,67500
AAAP,19 Jan 2017,28.39,28.66,27.9,28.47,36400
AAAP,20 Jan 2017,28.28,29.07,28,28.61,102400
AAAP,23 Jan 2017,28.65,28.95,28.09,28.91,66000
AAAP,24 Jan 2017,28.8,29.27,28.71,29.2,30400
AAAP,25 Jan 2017,29.51,30.78,29.48,30.66,132500
AAAP,26 Jan 2017,30.51,31.16,30.37,30.69,68300
AAAP,27 Jan 2017,30.92,31.7,30.67,31.5,54200
AAAP,30 Jan 2017,31.69,31.69,30.95,31.49,70700
AAAP,31 Jan 2017,31.5,32.55,31.03,32.37,74900
AAAP,01 Feb 2017,32.62,33.33,32.55,32.94,85400
AAAP,02 Feb 2017,33,33.96,33,33.76,67900
AAAP,03 Feb 2017,33.8,34.56,33.8,34.25,177400
AAAP,06 Feb 2017,34.4,35.12,34.2,34.9,215100
AAAP,07 Feb 2017,34.3,35.16,34.3,34.89,205700
AAAP,08 Feb 2017,34.63,35,34.6,34.99,87500
AAAP,09 Feb 2017,35,35.5,34.94,35.25,321600
AAAP,10 Feb 2017,35.45,37.6,35.16,37.16,377700
AAAP,13 Feb 2017,37.1,37.34,36.28,36.69,192600
AAAP,14 Feb 2017,36.41,36.63,35.5,35.6,141200
AAAP,15 Feb 2017,35.6,36.12,35.25,35.71,81700
AAAP,16 Feb 2017,35.8,36.16,35.62,35.9,208000
AAAP,17 Feb 2017,35.91,36.23,35.59,36.14,147400
AAAP,20 Feb 2017,36.14,36.14,36.14,36.14,0
AAAP,21 Feb 2017,35.83,37.14,35.83,36.85,289900
AAAP,22 Feb 2017,36.99,37.02,36.57,36.92,92500
AAAP,23 Feb 2017,36.92,37.13,36.38,36.98,219100
AAAP,24 Feb 2017,35.98,36.99,35.65,36.96,171100
AAAP,27 Feb 2017,37,37.45,36.76,37.26,240200
AAAP,28 Feb 2017,37.25,38.87,37.05,37.94,155200
AAAP,01 Mar 2017,38,38.33,37.67,37.85,121000
AAAP,02 Mar 2017,37.85,38.27,36.5,37.52,63500
AAAP,03 Mar 2017,37.64,38.65,37.46,38.43,59600
AAAP,06 Mar 2017,38.14,38.23,37.46,38.14,98000
AAAP,07 Mar 2017,38.18,38.3,37.69,38.11,63400
AAAP,08 Mar 2017,38.01,38.5,37.96,38.31,62300
AAAP,09 Mar 2017,38,38.7,37.8,38.09,103500
AAAP,10 Mar 2017,38.35,38.35,37.56,37.95,70800
AAAP,13 Mar 2017,37.66,37.8,36.87,37.42,111600
AAAP,14 Mar 2017,37.38,37.53,36.09,36.62,36500
AAAP,15 Mar 2017,36.72,37.35,35.53,36.75,71200
AAAP,16 Mar 2017,36.8,36.94,36.38,36.48,96300
AAAP,17 Mar 2017,36.67,37.21,36.62,37.11,64900
AAAP,20 Mar 2017,37.24,37.49,36.85,37.25,65900
AAAP,21 Mar 2017,37.04,37.6,36.95,36.99,84000
AAAP,22 Mar 2017,36.99,38.01,36.89,37.3,50100
AAAP,23 Mar 2017,35.5,39.96,35.5,39.58,213000
AAAP,24 Mar 2017,39.5,39.92,38.86,38.98,125600
AAAP,27 Mar 2017,38.68,39.48,38.68,39.2,146800
AAAP,28 Mar 2017,39.2,39.6,38.8,39.21,282400
AAAP,29 Mar 2017,39.21,40,39.21,40,240900
AAAP,30 Mar 2017,40,40.92,39.15,40,474400
AAAP,31 Mar 2017,40,40.05,39.57,39.86,116700
AAAP,03 Apr 2017,39.9,40.03,39.29,39.69,113000
AAAP,04 Apr 2017,39.4,39.91,39.4,39.77,46400
AAAP,05 Apr 2017,39.7,39.91,38.31,39.47,129000
AAAP,06 Apr 2017,39.77,39.77,38.91,39.24,55300
AAAP,07 Apr 2017,39.4,39.65,39.21,39.33,100600
AAAP,10 Apr 2017,39.5,39.5,38.5,38.8,43700
AAAP,11 Apr 2017,38.84,38.97,37.69,38.09,41300
AAAP,12 Apr 2017,38.17,38.54,37.4,37.75,33800
AAAP,13 Apr 2017,37.75,37.91,37.18,37.42,32500
AAAP,14 Apr 2017,37.42,37.42,37.42,37.42,0
AAAP,17 Apr 2017,37.63,37.97,37.07,37.45,24300
AAAP,18 Apr 2017,37.65,37.99,37.09,37.91,51600
AAAP,19 Apr 2017,37.9,38.1,36.89,37.06,36100
AAAP,20 Apr 2017,37.54,37.69,37.12,37.61,17400
AAAP,21 Apr 2017,37.69,37.69,36.12,36.95,39700
AAAP,24 Apr 2017,37.56,37.85,37.43,37.82,35800
AAAP,25 Apr 2017,37.4,38.28,37.03,37.25,104700
AAAP,26 Apr 2017,37.25,37.7,36.32,37.55,38000
AAAP,27 Apr 2017,37.26,37.66,36.72,37.43,32800
AAAP,28 Apr 2017,37.62,38.48,37.58,38,53000
AAAP,01 May 2017,38.01,38.4,37.75,38,51300
AAAP,02 May 2017,37.99,38.39,37.83,38.01,125100
AAAP,03 May 2017,38.12,38.12,37.22,37.86,139900
AAAP,04 May 2017,38.11,38.11,37.76,38.08,26300
AAAP,05 May 2017,38.23,38.25,37.25,37.78,65700
AAAP,08 May 2017,37.47,37.54,36.61,36.88,25100
AAAP,09 May 2017,37.26,37.27,36.3,36.87,72700
AAAP,10 May 2017,36.88,36.88,36.14,36.75,28300
AAAP,11 May 2017,36.52,36.98,36.41,36.7,25400
AAAP,12 May 2017,36.51,36.92,36.03,36.03,63900
AAAP,15 May 2017,36.05,36.56,35.11,36.3,56600
AAAP,16 May 2017,36.11,37.55,35.99,36.18,47200
AAAP,17 May 2017,35.99,36.59,35.57,36.18,48200
AAAP,18 May 2017,36.1,36.5,36.1,36.18,25600
AAAP,19 May 2017,36.41,36.98,35.86,36.56,37300
AAAP,22 May 2017,36.5,37.45,36.24,36.72,49700
AAAP,23 May 2017,36.94,38.48,36.57,38.32,90900
AAAP,24 May 2017,38.15,39.76,37.9,38.51,120600
AAAP,25 May 2017,38.75,39.6,38.61,39.21,135800
AAAP,26 May 2017,38.95,39.28,38.65,38.9,83000
AAAP,29 May 2017,38.9,38.9,38.9,38.9,0
AAAP,30 May 2017,38.6,39,37.94,38.52,47900
AAAP,31 May 2017,38.36,39,36.52,37.78,112800
AAAP,01 Jun 2017,37.63,38.25,37.08,37.47,163500
AAAP,02 Jun 2017,37.6,37.6,35.52,35.54,51100
AAAP,05 Jun 2017,35.56,35.99,35.2,35.61,28100
AAAP,06 Jun 2017,35.75,37,35.47,36.48,53700
AAAP,07 Jun 2017,36.35,36.74,35.85,36.51,34100
AAAP,08 Jun 2017,36.43,36.82,35.54,36.41,38500
AAAP,09 Jun 2017,36.59,36.85,36,36.65,31400
AAAP,12 Jun 2017,36.41,36.5,36,36.05,65200
AAAP,13 Jun 2017,35.81,36.64,35.66,36.13,23400
AAAP,14 Jun 2017,36.38,36.7,36.05,36.06,29900
AAAP,15 Jun 2017,36.22,38.54,36.22,36.76,184600
AAAP,16 Jun 2017,37.8,37.8,36.2,37,35400
AAAP,19 Jun 2017,37,37.8,36.7,37.3,33800
AAAP,20 Jun 2017,37.79,38.16,37.27,37.9,61200
AAAP,21 Jun 2017,38.1,39.9,37.95,39.36,114300
AAAP,22 Jun 2017,39,39.93,37.33,39.64,182000
AAAP,23 Jun 2017,39.33,40,38.53,39.89,74700
AAAP,26 Jun 2017,40,40,38.37,38.96,94300
