date,close,volume,open,high,low

2017/08/18,157.5000,27391950.0000,157.8600,159.5000,156.7200
2017/08/17,157.8600,27377960.0000,160.5200,160.7100,157.8400
2017/08/16,160.9500,27607370.0000,161.9400,162.5100,160.1500
2017/08/15,161.6000,29377630.0000,160.6600,162.1950,160.1400
2017/08/14,159.8500,22074760.0000,159.3200,160.2100,158.7500
2017/08/11,157.4800,26208970.0000,156.6000,158.5728,156.0700
2017/08/10,155.3200,39636190.0000,159.9000,160.0000,154.6300
2017/08/09,161.0600,26060430.0000,159.2600,161.2700,159.1100
2017/08/08,160.0800,36127490.0000,158.6000,161.8300,158.2700
2017/08/07,158.8100,21827400.0000,157.0600,158.9200,156.6701
2017/08/04,156.3900,20514810.0000,156.0700,157.4000,155.6900
2017/08/03,155.5700,26604140.0000,157.0500,157.2100,155.0200
2017/08/02,157.1400,69726440.0000,159.2800,159.7500,156.1600
2017/08/01,150.0500,33669020.0000,149.1000,150.2200,148.4100
2017/07/31,148.7300,19690420.0000,149.9000,150.3300,148.1300
2017/07/28,149.5000,17192770.0000,149.8900,150.2300,149.1900
2017/07/27,150.5600,32429770.0000,153.7500,153.9900,147.3000
2017/07/26,153.4600,15649120.0000,153.3500,153.9300,153.0600
2017/07/25,152.7400,18798250.0000,151.8000,153.8400,151.8000
2017/07/24,152.0900,21466370.0000,150.5800,152.4400,149.9000
2017/07/21,150.2700,25111310.0000,149.9900,150.4400,148.8800
2017/07/20,150.3400,17170490.0000,151.5000,151.7400,150.1900
2017/07/19,151.0200,20859830.0000,150.4800,151.4200,149.9500
2017/07/18,150.0800,17837130.0000,149.2000,150.1300,148.6700
2017/07/17,149.5600,23765710.0000,148.8200,150.9000,148.5700
2017/07/14,149.0400,20117070.0000,147.9700,149.3300,147.3300
2017/07/13,147.7700,25080500.0000,145.5000,148.4900,145.4400
2017/07/12,145.7400,24833800.0000,145.8700,146.1800,144.8200
2017/07/11,145.5300,18647220.0000,144.7300,145.8500,144.3800
2017/07/10,145.0600,21080580.0000,144.1100,145.9500,143.3700
2017/07/07,144.1800,18527000.0000,142.9000,144.7500,142.9000
2017/07/06,142.7300,24110330.0000,143.0200,143.5000,142.4100
2017/07/05,144.0900,21550270.0000,143.6900,144.7900,142.7237
2017/07/03,143.5000,14277850.0000,144.8800,145.3001,143.1000
2017/06/30,144.0200,22986960.0000,144.4500,144.9600,143.7800
2017/06/29,143.6800,31450520.0000,144.7100,145.1300,142.2800
2017/06/28,145.8300,22052920.0000,144.4900,146.1100,143.1601
2017/06/27,143.7300,24725210.0000,145.0100,146.1600,143.6200
2017/06/26,145.8200,25674500.0000,147.1700,148.2800,145.3800
2017/06/23,146.2800,35421310.0000,145.1300,147.1600,145.1100
2017/06/22,145.6300,19082170.0000,145.7700,146.7000,145.1199
2017/06/21,145.8700,21247590.0000,145.5200,146.0693,144.6100
2017/06/20,145.0100,24877950.0000,146.8700,146.8700,144.9400
2017/06/19,146.3400,32203640.0000,143.6600,146.7400,143.6600
2017/06/16,142.2700,50264540.0000,143.7800,144.5000,142.2000
2017/06/15,144.2900,31642900.0000,143.3200,144.4798,142.2100
2017/06/14,145.1600,31454590.0000,147.5000,147.5000,143.8400
2017/06/13,146.5900,34089190.0000,147.1600,147.4500,145.1500
2017/06/12,145.4200,72187710.0000,145.7400,146.0900,142.5100
2017/06/09,148.9800,64782910.0000,155.1900,155.1900,146.0200
2017/06/08,154.9900,21144040.0000,155.2500,155.5400,154.4000
2017/06/07,155.3700,21017560.0000,155.0200,155.9800,154.4800
2017/06/06,154.4500,26591850.0000,153.9000,155.8100,153.7800
2017/06/05,153.9300,25277680.0000,154.3400,154.4500,153.4600
2017/06/02,155.4500,27715140.0000,153.5800,155.4500,152.8900
2017/06/01,153.1800,16383610.0000,153.1700,153.3300,152.2200
2017/05/31,152.7600,24452750.0000,153.9700,154.1700,152.3800
2017/05/30,153.6700,20118620.0000,153.4200,154.4300,153.3300
2017/05/26,153.6100,21895020.0000,154.0000,154.2400,153.3100
2017/05/25,153.8700,19217810.0000,153.7300,154.3500,153.0300
2017/05/24,153.3400,19201820.0000,153.8400,154.1700,152.6700
2017/05/23,153.8000,19906170.0000,154.9000,154.9000,153.3100
2017/05/22,153.9900,22930630.0000,154.0000,154.5800,152.9100
2017/05/19,153.0600,26892850.0000,153.3800,153.9800,152.6300
2017/05/18,152.5400,33520150.0000,151.2700,153.3400,151.1300
2017/05/17,150.2500,50674280.0000,153.6000,154.5700,149.7100
2017/05/16,155.4700,19994270.0000,155.9400,156.0600,154.7200
2017/05/15,155.7000,25912270.0000,156.0100,156.6500,155.0500
2017/05/12,156.1000,32493770.0000,154.7000,156.4200,154.6700
