appl, 1
Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-03,15:35:00,156.44,156.6,156.02,156.17,1213977,0
2017-08-03,15:40:00,156.18,156.32,155.8,156.09,753669,0
2017-08-03,15:45:00,156.08,156.18,155.88,156.06,604459,0
2017-08-03,15:50:00,156.05,156.05,155.68,155.78,634882,0
2017-08-03,15:55:00,155.79,155.88,155.24,155.31,661335,0
2017-08-03,16:00:00,155.29,155.69,155.26,155.64,520677,0
2017-08-03,16:05:00,155.63,155.63,155.17,155.17,452311,0
2017-08-03,16:10:00,155.18,155.25,154.82,154.83,707169,0
2017-08-03,16:15:00,154.84,155.14,154.67,154.82,610831,0
2017-08-03,16:20:00,154.82,155.19,154.76,155.1,469378,0
2017-08-03,16:25:00,155.1,155.36,155.1,155.27,372108,0
2017-08-03,16:30:00,155.25,155.39,155.16,155.28,345753,0
2017-08-03,16:35:00,155.28,155.53,155.21,155.43,372721,0
2017-08-03,16:40:00,155.43,155.49,155.09,155.17,284616,0
2017-08-03,16:45:00,155.21,155.46,155.16,155.38,195358,0
2017-08-03,16:50:00,155.38,155.4,155.19,155.25,226237,0
2017-08-03,16:55:00,155.24,155.49,155.24,155.33,219532,0
2017-08-03,17:00:00,155.33,155.65,155.32,155.59,366356,0
2017-08-03,17:05:00,155.58,155.86,155.55,155.83,400949,0
2017-08-03,17:10:00,155.81,156.03,155.81,156.03,387347,0
2017-08-03,17:15:00,156.02,156.21,155.89,155.96,468358,0
2017-08-03,17:20:00,155.95,156.04,155.57,155.59,287218,0
2017-08-03,17:25:00,155.58,155.74,155.48,155.53,217894,0
2017-08-03,17:30:00,155.53,155.69,155.5,155.68,228967,0
2017-08-03,17:35:00,155.68,155.69,155.51,155.52,217558,0
2017-08-03,17:40:00,155.53,155.8,155.53,155.75,194428,0
2017-08-03,17:45:00,155.74,155.75,155.4,155.48,195492,0
2017-08-03,17:50:00,155.48,155.57,155.45,155.45,132504,0
2017-08-03,17:55:00,155.45,155.54,155.32,155.33,182902,0
2017-08-03,18:00:00,155.32,155.37,155.25,155.34,172017,0
2017-08-03,18:05:00,155.34,155.51,155.34,155.41,168414,0
2017-08-03,18:10:00,155.41,155.43,155.05,155.13,204834,0
2017-08-03,18:15:00,155.13,155.27,155.12,155.2,149741,0
2017-08-03,18:20:00,155.2,155.4,155.19,155.32,162348,0
2017-08-03,18:25:00,155.32,155.37,155.2,155.32,192469,0
2017-08-03,18:30:00,155.32,155.5,155.26,155.5,199071,0
2017-08-03,18:35:00,155.49,155.58,155.36,155.4,177420,0
2017-08-03,18:40:00,155.39,155.51,155.36,155.37,107725,0
2017-08-03,18:45:00,155.37,155.38,155.18,155.27,98061,0
2017-08-03,18:50:00,155.27,155.37,155.19,155.19,122940,0
2017-08-03,18:55:00,155.2,155.3,155.2,155.24,87784,0
2017-08-03,19:00:00,155.24,155.34,155.19,155.3,104439,0
2017-08-03,19:05:00,155.3,155.31,155.2,155.23,101704,0
2017-08-03,19:10:00,155.24,155.27,155.05,155.1,144528,0
2017-08-03,19:15:00,155.1,155.14,154.97,155.01,163645,0
2017-08-03,19:20:00,155.01,155.08,154.94,154.94,164357,0
2017-08-03,19:25:00,154.95,155.06,154.86,154.94,249986,0
2017-08-03,19:30:00,154.93,154.94,154.75,154.82,248771,0
2017-08-03,19:35:00,154.84,154.86,154.69,154.72,247932,0
2017-08-03,19:40:00,154.73,154.93,154.72,154.89,189980,0
2017-08-03,19:45:00,154.9,154.97,154.85,154.88,140379,0
2017-08-03,19:50:00,154.89,155.03,154.88,154.93,120416,0
2017-08-03,19:55:00,154.93,155.17,154.91,155.16,196865,0
2017-08-03,20:00:00,155.17,155.26,155.15,155.19,204069,0
2017-08-03,20:05:00,155.21,155.33,155.17,155.31,149006,0
2017-08-03,20:10:00,155.31,155.4,155.25,155.32,194845,0
2017-08-03,20:15:00,155.31,155.35,155.17,155.18,129581,0
2017-08-03,20:20:00,155.18,155.19,155.05,155.08,148963,0
2017-08-03,20:25:00,155.09,155.17,155.05,155.1,193610,0
2017-08-03,20:30:00,155.1,155.17,155.04,155.15,106132,0
2017-08-03,20:35:00,155.15,155.15,155.02,155.05,156642,0
2017-08-03,20:40:00,155.05,155.08,154.96,154.99,144530,0
2017-08-03,20:45:00,154.99,155,154.89,154.99,142326,0
2017-08-03,20:50:00,154.98,155.09,154.96,154.99,163664,0
2017-08-03,20:55:00,155,155.03,154.81,154.82,146780,0
2017-08-03,21:00:00,154.83,154.92,154.81,154.9,115004,0
2017-08-03,21:05:00,154.91,155.02,154.9,155,174970,0
2017-08-03,21:10:00,155,155.08,154.93,154.98,188970,0
2017-08-03,21:15:00,154.98,155.1,154.86,155.1,199828,0
2017-08-03,21:20:00,155.1,155.19,155.08,155.16,224789,0
2017-08-03,21:25:00,155.17,155.25,155.13,155.2,226831,0
2017-08-03,21:30:00,155.21,155.33,155.19,155.24,217665,0
2017-08-03,21:35:00,155.24,155.27,154.5,154.68,661874,0
