Date,Time,Open,High,Low,Close,Volume,OpenInt
blue minutely, y_M_d_hmsz
2017-08-03,15:35:00,90.2,90.75,86.55,87.05,40908,0
2017-08-03,15:40:00,87,87.35,85.65,85.7,42896,0
2017-08-03,15:45:00,85.95,88,85.8,87.75,39641,0
2017-08-03,15:50:00,87.8,88.3,86.65,88.1,40802,0
2017-08-03,15:55:00,88.25,88.9,87.6,88.9,29467,0
2017-08-03,16:00:00,88.8668,89.9,88.75,89.9,16702,0
2017-08-03,16:05:00,89.6,89.75,89.35,89.525,9949,0
2017-08-03,16:10:00,89.65,89.75,88,88.65,18693,0
2017-08-03,16:15:00,88.475,88.75,87.8,88.05,10649,0
2017-08-03,16:20:00,88.1746,88.1881,87.8,88.1,3784,0
2017-08-03,16:25:00,88.1752,88.25,87.8,88.25,1592,0
2017-08-03,16:30:00,88.35,89.075,88.35,88.9,10665,0
2017-08-03,16:35:00,88.85,89.1,88.6,88.8,5750,0
2017-08-03,16:40:00,88.7,89.35,88.6,89.2392,3268,0
2017-08-03,16:45:00,89.35,90.35,89.3,90.155,14577,0
2017-08-03,16:50:00,90.4,90.4,89.575,89.95,4590,0
2017-08-03,16:55:00,89.9,90.35,89.85,90.15,3232,0
2017-08-03,17:00:00,90.275,90.9,90.25,90.75,11786,0
2017-08-03,17:05:00,90.7,90.8,89.65,89.75,8350,0
2017-08-03,17:10:00,89.5076,89.95,89.5076,89.825,6491,0
2017-08-03,17:15:00,89.9,90.1,89.5716,89.65,4720,0
2017-08-03,17:20:00,89.65,90.05,89.6268,89.85,2000,0
2017-08-03,17:25:00,89.8,90,89.75,89.975,7800,0
2017-08-03,17:30:00,89.975,90.4,89.9,90.2348,9820,0
2017-08-03,17:35:00,90.35,90.475,90.1,90.25,8352,0
2017-08-03,17:40:00,90.25,90.25,89.85,89.9,3308,0
2017-08-03,17:45:00,90,90.1,89.425,89.75,5401,0
2017-08-03,17:50:00,89.8,89.95,89.5437,89.6,1900,0
2017-08-03,17:55:00,89.575,89.7,89.45,89.65,1225,0
2017-08-03,18:00:00,89.55,89.55,89.35,89.52,3700,0
2017-08-03,18:05:00,89.6,89.8,89.45,89.8,1600,0
2017-08-03,18:10:00,89.95,90,89.55,89.95,2509,0
2017-08-03,18:15:00,89.8,89.8,89.6,89.6,3250,0
2017-08-03,18:20:00,89.65,89.8125,89.65,89.8125,850,0
2017-08-03,18:25:00,89.75,89.75,89.45,89.55,3362,0
2017-08-03,18:30:00,89.5,89.95,89.5,89.9,2900,0
2017-08-03,18:35:00,89.7,90.2,89.7,90.15,1605,0
2017-08-03,18:40:00,90.2,90.2,89.95,90.075,1400,0
2017-08-03,18:45:00,90.03,90.15,89.95,90.15,1530,0
2017-08-03,18:50:00,90.1,90.1,89.85,89.85,2043,0
2017-08-03,18:55:00,90,90,89.8,89.85,500,0
2017-08-03,19:00:00,89.8,90.15,89.7,90.15,2013,0
2017-08-03,19:05:00,90.35,90.4,90.15,90.35,3340,0
2017-08-03,19:10:00,90.35,90.35,90.2,90.2,1122,0
2017-08-03,19:15:00,90.1,90.35,90.05,90.15,1900,0
2017-08-03,19:20:00,90.3,90.3,90.1,90.225,2300,0
2017-08-03,19:25:00,90.2,90.6,90.125,90.6,3650,0
2017-08-03,19:30:00,90.55,90.775,90.4,90.6,4700,0
2017-08-03,19:35:00,90.7,91,90.6,90.9,9600,0
2017-08-03,19:40:00,90.975,91.3,90.975,91.25,4008,0
2017-08-03,19:45:00,91.25,91.7,91.15,91.45,7180,0
2017-08-03,19:50:00,91.3,91.55,91.3,91.3,3800,0
2017-08-03,19:55:00,91.375,91.45,91,91,4250,0
2017-08-03,20:00:00,90.85,91.3,90.85,91.15,6932,0
2017-08-03,20:05:00,91.15,91.25,90.9,90.9,4600,0
2017-08-03,20:10:00,90.9,91,90.8,90.975,3500,0
2017-08-03,20:15:00,90.9,90.9,90.65,90.65,2400,0
2017-08-03,20:20:00,90.725,90.85,90.65,90.75,2900,0
2017-08-03,20:25:00,90.7,91.75,90.7,91.65,9155,0
2017-08-03,20:30:00,91.55,92.4,91.55,92.3,8901,0
2017-08-03,20:35:00,92.35,92.45,92,92.25,11803,0
2017-08-03,20:40:00,92.225,92.225,91.85,92.05,6200,0
2017-08-03,20:45:00,91.85,92,91.6,92,14726,0
2017-08-03,20:50:00,91.875,92,91.35,91.35,7705,0
2017-08-03,20:55:00,91.55,91.75,91.5,91.6,5450,0
2017-08-03,21:00:00,91.55,92.2,91.5,92.1,9481,0
2017-08-03,21:05:00,92.25,92.75,92.25,92.3,27555,0
2017-08-03,21:10:00,92.425,92.5,91.9,91.9,7292,0
2017-08-03,21:15:00,92,92.8,91.9,92.8,14798,0
2017-08-03,21:20:00,92.8,93.45,92.6,92.7,15225,0
2017-08-03,21:25:00,92.7,92.9,92.35,92.725,12215,0
2017-08-03,21:30:00,92.765,92.8,92.35,92.55,6600,0
2017-08-03,21:35:00,92.5,92.65,91.9,92.2,13218,0
2017-08-03,21:40:00,91.9,92.55,91.625,92.35,13988,0
2017-08-03,21:45:00,92.2,93.4,92.2,93.3,27886,0
2017-08-03,21:50:00,93.175,93.25,92.75,92.8,23324,0
2017-08-03,21:55:00,92.6,92.85,92.4,92.8,16065,0
2017-08-03,22:00:00,92.8,93.45,92.4,93.35,84548,0
2017-08-04,15:35:00,93.55,94.05,92.9,93.45,23814,0
2017-08-04,15:40:00,93.5,94.4,93.425,94.4,8768,0
2017-08-04,15:45:00,94.3257,94.8,93.775,94.5135,22216,0
2017-08-04,15:50:00,94.4347,95.55,94.4347,94.95,26995,0
2017-08-04,15:55:00,95.075,95.5,94.75,94.85,24543,0
2017-08-04,16:00:00,94.775,94.85,94.455,94.75,12927,0
2017-08-04,16:05:00,94.8,95.3,94.8,95,6189,0
2017-08-04,16:10:00,95,95.4,95,95.1,11294,0
2017-08-04,16:15:00,95.05,95.5,94.85,94.9,8012,0
2017-08-04,16:20:00,94.9,95.95,94.65,95.95,11162,0
2017-08-04,16:25:00,95.95,96.1,95.6,95.6,10562,0
