Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-01-25,16:00:00,169.22,169.67,169.03,169.22,2471,0
2017-01-25,17:00:00,169.31,169.8,169.03,169.37,6024,0
2017-01-25,18:00:00,169.37,169.88,169.11,169.59,6261,0
2017-01-25,19:00:00,169.59,169.59,169.15,169.21,421,0
2017-01-25,20:00:00,169.66,169.66,169.32,169.58,702,0
2017-01-25,21:00:00,169.38,169.57,168.71,168.71,2749,0
2017-01-25,22:00:00,168.98,169.26,168.42,168.97,3727,0
2017-01-26,16:00:00,168.15,168.6,167.1,168.6,1206,0
2017-01-26,17:00:00,168,168.33,167.41,167.41,1002,0
2017-01-26,18:00:00,167.9,167.9,167.41,167.89,802,0
2017-01-26,19:00:00,167.31,167.92,167.12,167.12,1197,0
2017-01-26,20:00:00,167.12,167.12,166.43,166.51,1102,0
2017-01-26,21:00:00,166.38,167.11,165.71,166.65,894,0
2017-01-26,22:00:00,166,166.7,165.52,166.12,5201,0
2017-01-27,16:00:00,165.89,165.89,165.89,165.89,199,0
2017-01-27,17:00:00,166.02,166.08,165.22,165.22,1403,0
2017-01-27,18:00:00,165.47,165.86,164.91,165.86,1303,0
2017-01-27,19:00:00,165.52,165.97,165.18,165.59,502,0
2017-01-27,20:00:00,165.96,166.07,165.96,166.07,408,0
2017-01-27,21:00:00,165.31,165.96,165.22,165.63,502,0
2017-01-27,22:00:00,166.03,166.58,165.13,165.54,4752,0
2017-01-30,16:00:00,164.73,165,164.29,164.29,750,0
2017-01-30,17:00:00,163.17,163.17,162.61,162.63,2216,0
2017-01-30,18:00:00,162.73,164.07,162.65,164.07,1604,0
2017-01-30,19:00:00,163.71,164.13,163.7,164.13,702,0
2017-01-30,20:00:00,164.14,164.14,163.87,163.91,502,0
2017-01-30,21:00:00,163.43,164.3,163.43,164.3,553,0
2017-01-30,22:00:00,163.49,164.61,163.49,164.13,2803,0
2017-01-31,16:00:00,163.72,163.95,161.94,163.77,584,0
2017-01-31,17:00:00,162.81,163.96,162.78,163.69,802,0
2017-01-31,18:00:00,164.22,164.94,164.22,164.94,400,0
2017-01-31,19:00:00,165.3,167.59,165.3,166.92,1606,0
2017-01-31,20:00:00,166.54,167.87,166.45,167.2,622,0
2017-01-31,21:00:00,166.64,168.95,166.48,168.95,4811,0
2017-01-31,22:00:00,167.5,168.53,167.5,168.46,6316,0
