Date,Time,Open,High,Low,Close,Volume,OpenInt
coke minutely, 0
2017-07-12,15:35:00,228.44,228.87,228.44,228.87,705,0
2017-07-12,15:45:00,228.35,229.68,228.26,229.68,1723,0
2017-07-12,15:55:00,229.02,229.71,229.02,229.71,751,0
2017-07-12,16:10:00,228.47,229.02,228.47,229.02,200,0
2017-07-12,16:20:00,229.61,229.61,229.61,229.61,100,0
2017-07-12,16:30:00,228.45,229.44,228.45,229.44,200,0
2017-07-12,16:35:00,228.8,228.8,228.8,228.8,100,0
2017-07-12,16:40:00,229.06,229.47,228.73,228.8,501,0
2017-07-12,16:45:00,229.57,229.57,229.13,229.13,300,0
2017-07-12,16:50:00,229.46,231.19,229.42,231.19,2655,0
2017-07-12,17:00:00,230.46,231.37,229.98,231.37,300,0
2017-07-12,17:10:00,231.04,231.04,231.04,231.04,100,0
2017-07-12,17:25:00,230.16,230.51,230.15,230.51,601,0
2017-07-12,17:35:00,230.94,230.97,230.94,230.97,200,0
2017-07-12,17:50:00,229.93,229.93,229.93,229.93,100,0
2017-07-12,18:10:00,230.9,230.9,230.9,230.9,100,0
2017-07-12,18:20:00,230.95,230.95,230.95,230.95,100,0
2017-07-12,18:45:00,230.76,230.86,230.76,230.86,601,0
2017-07-12,18:50:00,230.62,231.76,230.62,231.01,701,0
2017-07-12,18:55:00,231.11,231.11,231.11,231.11,100,0
2017-07-12,19:20:00,230.33,230.33,230.33,230.33,156,0
2017-07-12,19:25:00,231.21,231.21,231.21,231.21,100,0
2017-07-12,19:35:00,231.21,231.21,230.76,230.76,501,0
2017-07-12,19:40:00,230.74,230.86,230.33,230.86,701,0
2017-07-12,20:00:00,230.9,231.24,230.9,231.24,623,0
2017-07-12,20:20:00,230.57,230.57,230.57,230.57,100,0
2017-07-12,20:30:00,230.49,231.2,230.49,231.2,300,0
2017-07-12,20:40:00,230.76,231.27,230.76,231.26,1502,0
2017-07-12,20:45:00,231.78,231.8,231.78,231.8,200,0
2017-07-12,20:55:00,231.52,231.52,231.52,231.52,100,0
2017-07-12,21:00:00,231.87,231.87,231.87,231.87,100,0
2017-07-12,21:15:00,231.69,231.69,231.69,231.69,100,0
2017-07-12,21:20:00,231.73,231.77,231.73,231.77,200,0
2017-07-12,21:25:00,231.76,231.89,231.68,231.89,300,0
2017-07-12,21:30:00,231.71,231.96,231.71,231.96,200,0
2017-07-12,21:35:00,231.91,231.98,231.91,231.98,300,0
2017-07-12,21:40:00,231.7,231.7,231.7,231.7,100,0
2017-07-12,21:45:00,231.97,231.97,231.97,231.97,100,0
2017-07-12,21:55:00,231.6,231.97,231.6,231.85,801,0
2017-07-12,22:00:00,231.92,232.03,231.63,231.85,601,0
2017-07-13,15:35:00,231.97,231.97,231.97,231.97,261,0
2017-07-13,15:40:00,229.96,231.75,229.96,230.23,300,0
2017-07-13,15:45:00,231.1,231.1,231.1,231.1,700,0
2017-07-13,15:50:00,231.18,231.18,230.13,230.13,424,0
2017-07-13,17:40:00,228.02,230.66,228.02,230.66,200,0
2017-07-13,18:10:00,228.76,228.76,228.76,228.76,100,0
2017-07-13,18:25:00,228.76,228.76,228.76,228.76,100,0
2017-07-13,18:35:00,227.9,228.17,227.1,227.1,926,0
2017-07-13,18:40:00,228.02,228.69,225.89,225.89,1201,0
2017-07-13,18:45:00,225.52,228.52,225.52,228.52,501,0
2017-07-13,18:50:00,228.52,228.78,227.34,227.34,601,0
2017-07-13,18:55:00,227.33,227.33,227.33,227.33,100,0
2017-07-13,19:00:00,227.76,227.76,227.16,227.16,200,0
2017-07-13,19:10:00,227.33,227.33,227.33,227.33,100,0
2017-07-13,19:15:00,227.52,227.52,227.52,227.52,100,0
2017-07-13,19:35:00,227.56,227.56,227.56,227.56,100,0
2017-07-13,19:40:00,227.63,227.63,227.63,227.63,100,0
2017-07-13,19:50:00,227.38,227.38,227.38,227.38,100,0
2017-07-13,19:55:00,227.99,228.3,227.63,227.63,400,0
2017-07-13,20:05:00,227.63,227.63,227.63,227.63,100,0
2017-07-13,20:10:00,228.06,228.51,228.06,228.51,501,0
2017-07-13,20:15:00,227.76,227.92,227.76,227.92,200,0
2017-07-13,20:30:00,228.57,228.68,228.23,228.23,901,0
2017-07-13,20:35:00,228.36,228.36,228.36,228.36,100,0
2017-07-13,20:45:00,228.16,228.32,228.16,228.32,200,0
2017-07-13,20:50:00,228.05,228.54,228.05,228.48,501,0
2017-07-13,20:55:00,228.17,228.17,228.17,228.17,100,0
2017-07-13,21:00:00,228.23,228.23,228.23,228.23,100,0
2017-07-13,21:05:00,228.31,228.31,228.31,228.31,100,0
2017-07-13,21:10:00,228.07,228.99,228.07,228.99,200,0
2017-07-13,21:20:00,228.76,228.79,228.37,228.77,1715,0
2017-07-13,21:25:00,228.16,228.16,228.16,228.16,100,0
2017-07-13,21:30:00,228.59,228.59,228.59,228.59,100,0
2017-07-13,21:35:00,228.2,228.78,228.2,228.78,801,0
2017-07-13,21:45:00,228.44,228.44,228.44,228.44,100,0
2017-07-13,21:50:00,228.66,228.76,228.29,228.29,1101,0
2017-07-13,21:55:00,228.81,229.19,228.81,229.19,400,0
2017-07-13,22:00:00,229.11,229.91,229.11,229.6,3253,0
2017-07-14,15:35:00,229.24,229.24,229.24,229.24,374,0
2017-07-14,16:10:00,229.41,230.48,229.41,230.48,400,0
2017-07-14,16:25:00,229.76,229.76,229.76,229.76,1001,0
2017-07-14,16:45:00,229.4,229.4,229.4,229.4,100,0
2017-07-14,16:50:00,229.81,230.91,229.81,230.91,601,0
2017-07-14,17:25:00,231.46,231.49,231.46,231.49,200,0
2017-07-14,17:30:00,231.76,232.16,231.76,232.16,300,0
2017-07-14,17:35:00,232.98,232.98,232.98,232.98,100,0
2017-07-14,17:55:00,233.49,233.75,233.38,233.38,300,0
2017-07-14,18:00:00,233.63,233.63,233.63,233.63,100,0
2017-07-14,18:15:00,232.52,232.72,232.43,232.43,709,0
2017-07-14,18:20:00,233.31,233.31,231.99,231.99,200,0
2017-07-14,18:30:00,232.54,233.24,232.54,233.24,300,0
2017-07-14,18:40:00,233.43,233.48,233.43,233.48,200,0
2017-07-14,18:45:00,233.25,233.25,233.25,233.25,100,0
2017-07-14,18:55:00,233.47,233.5,233.47,233.5,200,0
2017-07-14,19:00:00,233.5,233.75,233.5,233.75,300,0
2017-07-14,19:55:00,232.98,232.98,232.98,232.98,100,0
2017-07-14,20:10:00,233.08,233.08,233.08,233.08,100,0
2017-07-14,20:15:00,233.16,233.16,233.16,233.16,119,0
2017-07-14,20:20:00,233.76,234.25,233.76,234.25,501,0
2017-07-14,20:25:00,234.25,234.25,233.8,234.02,400,0
2017-07-14,20:30:00,234.55,234.75,234.55,234.55,681,0
2017-07-14,20:35:00,235.75,235.75,234.04,234.92,300,0
2017-07-14,20:50:00,235.08,235.08,234.83,234.83,300,0
2017-07-14,21:20:00,234.49,234.49,234.49,234.49,100,0
2017-07-14,21:25:00,234.76,234.76,234.76,234.76,100,0
2017-07-14,21:35:00,234.74,234.89,234.74,234.89,250,0
2017-07-14,21:45:00,234.39,234.85,233.82,234.85,2102,0
2017-07-14,21:50:00,234.22,235.25,234.22,234.95,2087,0
2017-07-14,21:55:00,235.44,235.66,235.43,235.43,901,0
2017-07-14,22:00:00,235.44,235.51,234.86,235.3,4802,0
2017-07-17,15:35:00,234.75,234.75,234.75,234.75,882,0
2017-07-17,15:40:00,233.65,233.65,233.65,233.65,100,0
2017-07-17,15:45:00,233.15,234.44,232.28,234.44,1401,0
2017-07-17,15:50:00,233.52,236.68,233.27,236.68,2207,0
2017-07-17,15:55:00,236.66,236.66,236.66,236.66,191,0
2017-07-17,16:00:00,236.13,236.48,234.51,235.75,4104,0
2017-07-17,16:05:00,236,236,236,236,100,0
2017-07-17,16:20:00,235.75,237.1,235.75,236.25,744,0
2017-07-17,16:35:00,236.91,236.91,236.8,236.8,400,0
2017-07-17,16:45:00,237.18,237.2,237.18,237.2,1170,0
2017-07-17,16:50:00,237.21,238.71,237.21,238.66,1859,0
2017-07-17,16:55:00,238.34,239.01,238.34,239.01,601,0
2017-07-17,17:00:00,239.25,239.25,239.25,239.25,100,0
2017-07-17,17:10:00,239.09,239.09,239.09,239.09,100,0
2017-07-17,17:40:00,239.05,239.05,239.05,239.05,100,0
2017-07-17,18:00:00,238.75,238.75,238.75,238.75,220,0
2017-07-17,18:05:00,238.45,238.45,238.45,238.45,100,0
2017-07-17,18:25:00,238.89,238.89,238.68,238.68,200,0
2017-07-17,18:30:00,236.39,237.47,236.39,237.47,324,0
2017-07-17,18:40:00,236.72,237.43,236.72,237.15,701,0
2017-07-17,18:55:00,236.45,236.57,236.45,236.57,230,0
2017-07-17,19:00:00,236.44,236.44,235.8,235.81,1001,0
2017-07-17,19:05:00,235.86,235.86,235.85,235.85,200,0
2017-07-17,19:10:00,235.76,235.76,235.48,235.48,400,0
2017-07-17,19:15:00,235.58,235.58,235.58,235.58,100,0
2017-07-17,19:25:00,235.19,235.19,234.83,235.15,501,0
2017-07-17,19:35:00,234.83,235.19,234.83,235.19,200,0
2017-07-17,19:40:00,235.58,236.32,235.54,236.32,707,0
2017-07-17,19:55:00,237.38,237.4,237.38,237.4,464,0
2017-07-17,20:00:00,237.63,237.63,237.63,237.63,100,0
2017-07-17,20:20:00,237.49,237.49,237.49,237.49,100,0
2017-07-17,20:30:00,235.85,235.85,235.85,235.85,100,0
2017-07-17,20:35:00,236.8,237.73,236.8,237.73,300,0
2017-07-17,20:40:00,237.73,237.73,236.8,236.8,300,0
2017-07-17,20:55:00,237.73,237.73,237.73,237.73,100,0
2017-07-17,21:00:00,237.11,237.11,237.11,237.11,100,0
2017-07-17,21:40:00,237.4,237.4,237.4,237.4,100,0
2017-07-17,21:45:00,236.75,236.75,236.74,236.75,801,0
2017-07-17,21:50:00,237.1,237.1,236.63,236.63,300,0
2017-07-17,21:55:00,236.61,237.5,236.39,237.2,4968,0
2017-07-17,22:00:00,237.2,237.36,236.32,236.57,6692,0
2017-07-18,15:35:00,236.4,236.4,236.4,236.4,709,0
2017-07-18,16:00:00,236.58,236.58,236.58,236.58,100,0
2017-07-18,16:05:00,235.26,235.31,235.26,235.26,601,0
2017-07-18,16:10:00,236.14,237.5,236.14,236.63,4891,0
2017-07-18,16:45:00,237.71,237.71,235.47,235.47,9910,0
2017-07-18,16:55:00,236.8,236.8,236.8,236.8,100,0
2017-07-18,17:55:00,237.68,237.75,236.75,236.75,501,0
2017-07-18,18:00:00,236.75,236.75,236.75,236.75,100,0
2017-07-18,18:30:00,238.12,238.16,236.98,236.98,400,0
2017-07-18,18:35:00,238.1,238.19,238.1,238.19,200,0
2017-07-18,18:40:00,238.07,238.7,238.07,238.7,1201,0
2017-07-18,18:45:00,238.18,238.18,238.18,238.18,143,0
2017-07-18,19:15:00,237.96,237.96,237.96,237.96,100,0
2017-07-18,19:30:00,237.55,237.55,237.55,237.55,100,0
2017-07-18,19:35:00,237.45,237.45,237.45,237.45,100,0
2017-07-18,19:40:00,237.77,237.77,237.77,237.77,100,0
2017-07-18,19:45:00,237.74,237.74,237.27,237.27,300,0
2017-07-18,19:55:00,236.99,236.99,236.98,236.98,346,0
2017-07-18,20:05:00,236.27,236.27,236.27,236.27,100,0
2017-07-18,20:25:00,235.87,235.87,235.87,235.87,100,0
2017-07-18,20:30:00,235.76,235.76,235.76,235.76,100,0
