Date,Time,Open,High,Low,Close,Volume,OpenInt
fb hourly,0
2017-01-27,16:00:00,132.68,132.95,131.33,131.72,3461820,0
2017-01-27,17:00:00,131.7,132.75,131.08,132.7,3997012,0
2017-01-27,18:00:00,132.705,132.87,132.11,132.2267,2082613,0
2017-01-27,19:00:00,132.22,132.81,132.19,132.645,1613223,0
2017-01-27,20:00:00,132.65,132.74,132.09,132.0993,1659271,0
2017-01-27,21:00:00,132.0925,132.37,131.99,132.33,1478757,0
2017-01-27,22:00:00,132.335,132.335,131.92,132.18,3221550,0
2017-01-30,16:00:00,131.58,131.58,129.6,130.02,4374920,0
2017-01-30,17:00:00,130.05,130.33,129.611,130.0362,3214785,0
2017-01-30,18:00:00,130.03,130.7225,129.92,130.215,2204386,0
2017-01-30,19:00:00,130.22,130.3759,130.1,130.34,1398808,0
2017-01-30,20:00:00,130.34,130.4801,130.1649,130.3,1111610,0
2017-01-30,21:00:00,130.3,130.7,130.3,130.68,1240917,0
2017-01-30,22:00:00,130.673,131,130.47,130.98,3556147,0
2017-01-31,16:00:00,130.17,130.66,130.05,130.41,2751646,0
2017-01-31,17:00:00,130.425,130.48,129.935,130.36,3304113,0
2017-01-31,18:00:00,130.3643,130.42,129.66,129.68,2543743,0
2017-01-31,19:00:00,129.68,129.93,129.6,129.7548,1749153,0
2017-01-31,20:00:00,129.755,129.93,129.5157,129.58,1316480,0
2017-01-31,21:00:00,129.58,129.87,129.56,129.78,1499114,0
2017-01-31,22:00:00,129.78,130.43,129.71,130.34,3139932,0
2017-02-01,16:00:00,132.25,132.25,131,131.1125,4447456,0
2017-02-01,17:00:00,131.12,131.55,130.68,130.725,4272699,0
2017-02-01,18:00:00,130.72,131.12,130.705,130.79,2163690,0
2017-02-01,19:00:00,130.8,131.9,130.7,131.765,3010222,0
2017-02-01,20:00:00,131.76,132.52,131.75,132.16,2971336,0
2017-02-01,21:00:00,132.16,132.98,132.04,132.73,5229677,0
