date,close,volume,open,high,low
msft daily, 1
2017/08/18,72.4900,18760830.0000,72.2700,72.8400,71.9300
2017/08/17,72.4000,22450130.0000,73.5800,73.8700,72.4000
2017/08/16,73.6500,18146300.0000,73.3400,74.1000,73.1700
2017/08/15,73.2200,19174140.0000,73.5900,73.5900,73.0400
2017/08/14,73.5900,20079920.0000,73.0600,73.7200,72.9500
2017/08/11,72.5000,21429130.0000,71.6100,72.7000,71.2800
2017/08/10,71.4100,23882090.0000,71.9000,72.1900,71.3500
2017/08/09,72.4700,22208930.0000,72.2500,72.5100,72.0500
2017/08/08,72.7900,22029970.0000,72.0900,73.1300,71.7500
2017/08/07,72.4000,18703680.0000,72.8000,72.9000,72.2600
2017/08/04,72.6800,22578340.0000,72.4000,73.0400,72.2400
2017/08/03,72.1500,18203460.0000,72.1900,72.4400,71.8450
2017/08/02,72.2600,26487360.0000,72.5500,72.5600,71.4450
2017/08/01,72.5800,20755590.0000,73.1000,73.4200,72.4900
2017/07/31,72.7000,23546300.0000,73.3000,73.4400,72.4100
2017/07/28,73.0400,17800810.0000,72.6700,73.3100,72.5400
2017/07/27,73.1600,35803280.0000,73.7600,74.4200,72.3200
2017/07/26,74.0500,16074960.0000,74.3400,74.3800,73.8100
2017/07/25,74.1900,21934340.0000,73.8000,74.3100,73.5000
2017/07/24,73.6000,21227590.0000,73.5300,73.7500,73.1300
2017/07/21,73.7900,46301020.0000,73.4500,74.2900,73.1700
2017/07/20,74.2200,39459200.0000,74.1800,74.3000,73.2800
2017/07/19,73.8600,22071360.0000,73.5000,74.0400,73.4500
2017/07/18,73.3000,26356400.0000,73.0900,73.3900,72.6600
2017/07/17,73.3500,21776670.0000,72.8000,73.4500,72.7200
2017/07/14,72.7800,25780260.0000,72.2400,73.2700,71.9600
2017/07/13,71.7700,20267570.0000,71.5000,72.0399,71.3100
2017/07/12,71.1500,17747470.0000,70.6900,71.2800,70.5500
2017/07/11,69.9900,17459190.0000,70.0000,70.6800,69.7500
2017/07/10,69.9800,15006190.0000,69.4600,70.2500,69.2000
2017/07/07,69.4600,15910410.0000,68.7000,69.8400,68.7000
2017/07/06,68.5700,21108330.0000,68.2700,68.7800,68.1200
2017/07/05,69.0800,21164570.0000,68.2550,69.4400,68.2200
2017/07/03,68.1700,16165540.0000,69.3300,69.6000,68.0200
2017/06/30,68.9300,24094240.0000,68.7800,69.3800,68.7400
2017/06/29,68.4900,28898600.0000,69.3800,69.4900,68.0900
2017/06/28,69.8000,25802760.0000,69.2100,69.8410,68.7900
2017/06/27,69.2100,25214000.0000,70.1100,70.1800,69.1800
2017/06/26,70.5300,19508480.0000,71.4000,71.7100,70.4450
